Category Name,Order Region,Order Profit Per Order
Computers,Oceania,-238.9872714
As Seen on  TV!,Caribbean,-163.1799927
Strength Training,Northern Europe,-131.75624839729167
Strength Training,Caribbean,-68.47666296333333
Golf Shoes,West Asia,-66.11769162846154
Golf Shoes,North Africa,-62.6849968475
Boxing & MMA,Central Asia,-59.284998393
Boxing & MMA,Eastern Europe,-52.31908997636364
Cameras ,South Asia,-52.24666659033333
Boxing & MMA,West Africa,-51.428748959
Hunting & Shooting,North Africa,-30.367999638000004
Lacrosse,Central Asia,-29.209999085
Fitness Accessories,East Africa,-22.78000069
Lacrosse,Southern Europe,-21.894000914799992
Baseball & Softball,West Africa,-21.24416617933333
Golf Apparel,Canada,-20.385000705
Boxing & MMA,North Africa,-18.74666605888889
Tennis & Racquet,US Center ,-18.341765178823525
Hockey,Northern Europe,-17.1809084625
Golf Shoes,Eastern Europe,-13.875000240999999
As Seen on  TV!,Central America,-13.652000867866667
Lacrosse,Southern Africa,-13.64000034
Hunting & Shooting,Caribbean,-12.67272772731818
Men's Clothing,South Asia,-10.806888614666669
Hunting & Shooting,Eastern Asia,-10.550000632384611
Golf Bags & Carts,Southern Europe,-10.270000079999999
Golf Apparel,North Africa,-9.726000258899997
Golf Gloves,West Asia,-8.648974442076923
Soccer,Caribbean,-8.037999722700002
Accessories,Central Asia,-7.1329993262
Lacrosse,US Center ,-5.936153707615386
Golf Shoes,Oceania,-5.694443172222228
Trade-In,Eastern Europe,-5.409444672222223
Golf Shoes,Caribbean,-4.996087151086955
Girls' Apparel,Southern Africa,-4.696665974166668
As Seen on  TV!,Northern Europe,-4.415454672454538
Girls' Apparel,Northern Europe,-4.241090666981819
Books ,Southeast Asia,-4.226764724323529
DVDs,Western Europe,-4.197863042076922
Golf Balls,Canada,-3.8216667178333332
Baby ,South Asia,-3.6993750911249994
Fitness Accessories,North Africa,-3.5762501402500004
As Seen on  TV!,South America,-3.056000920599999
Lacrosse,West Africa,-2.960999682699999
Golf Apparel,Caribbean,-2.6427996534800013
Hockey,South Asia,-2.273846183538461
Books ,Eastern Asia,-2.1604999751499996
Hunting & Shooting,East of USA,-2.1347623007142857
Golf Apparel,Eastern Asia,-1.9999998414166662
Golf Balls,Central Asia,-1.8699998844999999
Golf Apparel,Northern Europe,-1.4336669082
Girls' Apparel,East of USA,-1.1313338312333334
Baby ,Oceania,-0.9705881514705877
Tennis & Racquet,West Asia,-0.9366669328888909
Golf Balls,West Africa,-0.7982928237804878
Fitness Accessories,West Africa,-0.7708330549166723
Hockey,US Center ,-0.7183870867741936
Kids' Golf Clubs,South America,-0.651388517194445
Shop By Sport,Central Asia,-0.19172438010344744
Electronics,West Africa,-0.10152793511111192
Trade-In,Oceania,0.0956452469999999
Hockey,West Africa,0.30733296593333537
CDs ,Southern Europe,0.3538235587647059
Electronics,US Center ,0.5359015108606558
Lacrosse,West Asia,0.5444441906666668
CDs ,Oceania,0.6710416531875
Golf Gloves,Eastern Asia,0.8083674450612239
Tennis & Racquet,South Asia,0.8715385956923066
Trade-In,Eastern Asia,1.0474417984418605
Books ,Northern Europe,1.1192307716923076
Golf Balls,South Asia,1.1750648757662339
Golf Apparel,Southern Africa,1.1849994650000006
Boxing & MMA,Southeast Asia,1.3426664477333328
Hunting & Shooting,West Africa,1.3709098186363626
CDs ,Southeast Asia,1.4135483718064517
Toys,South Asia,1.45750002405
Trade-In,Central Asia,1.580000043
CDs ,Western Europe,1.6320588183235296
Golf Gloves,South Asia,1.7013203035471702
Toys,Southeast Asia,1.7066331719899497
Toys,Oceania,1.7714814744962963
Toys,Eastern Asia,1.7855652012956522
Men's Clothing,Southeast Asia,1.8148143719074088
Men's Clothing,Eastern Asia,1.8166663875490194
Golf Balls,Southeast Asia,1.8450727132028988
CDs ,Eastern Asia,1.8451428464571429
Electronics,Canada,1.8554551861818191
Accessories,Southern Africa,1.9662501498124998
Golf Shoes,Southern Africa,2.0449998380000003
CDs ,South Asia,2.07666669775
Golf Apparel,West of USA ,2.1173336980666675
Trade-In,Southern Africa,2.143636357090909
CDs ,Northern Europe,2.270645152967742
Tennis & Racquet,Caribbean,2.5456258044375004
Video Games,Eastern Asia,2.6707317044341465
Hockey,West of USA ,2.7271428110714284
Golf Balls,Oceania,2.7644210212736837
Books ,Western Europe,2.7831132513207546
Video Games,Southeast Asia,2.7884860404581677
Golf Apparel,Oceania,2.8443750133750005
Golf Balls,US Center ,2.996087017405797
Golf Balls,Central Africa,3.1768749360625
DVDs,Southern Europe,3.231794956025641
Video Games,South Asia,3.2415979203402063
Health and Beauty,Oceania,3.2485524053947388
Golf Balls,West of USA ,3.2883583240447765
Boxing & MMA,South America,3.320487242609756
Accessories,Caribbean,3.637466724186666
Books ,South Asia,3.6946667531333333
Golf Balls,South of  USA ,3.7466666035277782
Boxing & MMA,South of  USA ,3.81000054275
Golf Balls,North Africa,3.825555434805555
Tennis & Racquet,Northern Europe,3.908823410823528
Golf Gloves,Eastern Europe,3.930000164999999
Golf Balls,Western Europe,4.382614395928105
Video Games,Oceania,4.474680875670213
Books ,Southern Europe,4.603636278181818
Boxing & MMA,Oceania,4.701817471818185
Hunting & Shooting,Central Asia,4.7199997905
Hunting & Shooting,West Asia,4.793749929625
Accessories,West Asia,4.815000089573171
Golf Gloves,East of USA,4.852999927799999
Pet Supplies,Eastern Asia,4.871153765300001
Golf Gloves,North Africa,4.9213332666000005
Accessories,South Asia,5.379877950195121
Golf Apparel,West Africa,5.39083316025
Golf Apparel,Southeast Asia,5.457999991733333
Electronics,South of  USA ,5.511979123427083
Trade-In,Central Africa,5.631428445857142
Pet Supplies,Southeast Asia,5.636453797588652
Hockey,Southern Europe,5.671481181333332
Trade-In,Southeast Asia,5.737916597687499
Golf Balls,West Asia,5.7785937643125
Fitness Accessories,US Center ,5.782142931
Golf Balls,Northern Europe,5.812571470857143
Baby ,Southeast Asia,5.830263043657895
Books ,Oceania,5.847500034964285
Trade-In,West Asia,5.875714297571429
Fitness Accessories,Caribbean,5.895294106352941
Accessories,Eastern Asia,5.9353967933968255
Trade-In,Northern Europe,6.006530495959184
Shop By Sport,Central Africa,6.178706989129309
Hockey,Oceania,6.260540502162162
Golf Apparel,West Asia,6.327499819166667
Fitness Accessories,Eastern Asia,6.359375223624998
Golf Bags & Carts,Caribbean,6.429999828
Hockey,Central America,6.449204618431818
Golf Balls,Southern Europe,6.475000105257576
Golf Apparel,Central Asia,6.539999962
Accessories,Oceania,6.546057750471154
Accessories,Southern Europe,6.5972857581
Golf Gloves,East Africa,6.597500182125
Golf Gloves,Southeast Asia,6.680293624705883
Trade-In,Central America,6.740884284442177
As Seen on  TV!,Southern Europe,6.821000659599998
Shop By Sport,Southeast Asia,6.880143743913758
Fitness Accessories,Oceania,6.935789328421055
Lacrosse,Oceania,7.1039998694
Tennis & Racquet,Eastern Asia,7.1146150960000005
Golf Balls,East Africa,7.321764637352941
Hockey,North Africa,7.372727362
Golf Balls,Central America,7.377872324280851
Electronics,Northern Europe,7.559224010405172
Hockey,East of USA,7.5611538187307685
Hunting & Shooting,West of USA ,7.605833396166666
Golf Balls,South America,7.60906262115625
Hunting & Shooting,US Center ,7.736249029375
Golf Balls,East of USA,7.778571375732143
Electronics,Southeast Asia,7.922378752703884
Hunting & Shooting,Central America,7.928420917355263
Lacrosse,Caribbean,8.000000089833334
Lacrosse,West of USA ,8.012143015214287
Women's Golf Clubs,Northern Europe,8.043886503333333
Accessories,South of  USA ,8.143999889844444
Boxing & MMA,Southern Europe,8.168710110612903
Shop By Sport,Eastern Europe,8.169037606640167
